1.0,-0.03,1
1.0,-0.06,1
0.99,-0.09,1
0.99,-0.12,1
0.98,-0.15,2
0.97,-0.18,1
0.96,-0.21,2
0.94,-0.24,3
0.93,-0.27,1
0.91,-0.29,1
0.89,-0.31,2
0.87,-0.34,2
0.85,-0.36,2
0.83,-0.38,1
0.8,-0.39,1
0.78,-0.41,2
0.76,-0.42,2
0.73,-0.43,1
0.71,-0.44,1
0.68,-0.45,1
0.65,-0.46,1
0.63,-0.46,1
0.6,-0.46,1
0.58,-0.46,1
0.55,-0.46,2
0.53,-0.46,2
0.5,-0.46,2
0.48,-0.45,1
0.46,-0.45,1
0.43,-0.44,2
0.41,-0.43,1
0.39,-0.42,2
0.37,-0.41,2
0.35,-0.39,4
0.34,-0.38,2
0.32,-0.37,1
0.3,-0.35,1
0.29,-0.33,3
0.27,-0.32,2
0.26,-0.3,1
0.25,-0.28,1
0.23,-0.26,1
0.22,-0.24,1
0.21,-0.22,2
0.21,-0.2,1
0.2,-0.18,1
0.19,-0.15,2
0.19,-0.13,1
0.18,-0.11,2
0.18,-0.08,2
0.18,-0.06,1
0.17,-0.03,1
0.17,-0.01,1
0.17,0.02,2
0.18,0.05,2
0.18,0.08,3
0.18,0.11,1
0.19,0.14,3
0.2,0.17,3
0.21,0.2,3
0.22,0.23,1
0.23,0.27,1
0.25,0.3,2
0.26,0.34,1
0.28,0.37,1
0.31,0.41,1
0.33,0.45,1
0.37,0.49,1
0.4,0.54,1
0.44,0.58,1
0.49,0.63,1
0.55,0.67,1
0.62,0.72,1
0.7,0.77,1
0.8,0.81,2
0.91,0.84,1
1.05,0.86,1
1.22,0.86,1
1.4,0.82,1
1.61,0.73,1
1.8,0.56,1
1.96,0.31,1
2.03,-0.01,1
1.96,-0.35,1
1.77,-0.63,1
1.5,-0.81,1
1.22,-0.87,1
0.97,-0.84,1
0.77,-0.75,1
0.61,-0.63,2
0.5,-0.49,1
0.42,-0.34,1
0.38,-0.17,4
0.37,0.01,3
0.4,0.23,2
0.52,0.51,2
0.94,0.9,1
2.39,0.3,1
0.74,-0.8,1
0.65,0.65,1
0.68,0.64,1
0.72,0.64,1
0.75,0.63,1
0.79,0.62,1
0.82,0.6,1
0.86,0.59,1
0.89,0.57,1
0.93,0.55,1
0.96,0.53,1
1.0,0.5,1
1.03,0.48,1
1.06,0.45,1
1.09,0.41,1
1.12,0.38,1
1.15,0.34,1
1.17,0.3,1
1.19,0.25,1
1.21,0.21,1
1.23,0.16,1
1.24,0.11,2
1.25,0.06,1
1.25,0.01,1
1.25,-0.04,1
1.25,-0.09,2
1.24,-0.14,3
1.23,-0.19,3
1.21,-0.23,1
1.19,-0.28,2
1.16,-0.32,2
1.14,-0.36,1
1.11,-0.4,1
1.07,-0.44,1
1.04,-0.47,1
1.0,-0.5,1
0.96,-0.52,1
0.92,-0.54,1
0.88,-0.56,1
0.84,-0.57,1
0.8,-0.58,1
0.76,-0.59,1
0.72,-0.59,2
0.68,-0.59,1
0.64,-0.58,2
0.6,-0.58,1
0.56,-0.57,1
0.53,-0.56,1
0.5,-0.54,2
0.46,-0.53,2
0.43,-0.51,1
0.41,-0.49,1
0.38,-0.47,2
0.35,-0.44,4
0.33,-0.42,1
0.31,-0.4,1
0.29,-0.37,2
0.27,-0.34,2
0.26,-0.31,1
0.24,-0.28,2
0.23,-0.25,3
0.22,-0.22,1
0.21,-0.19,2
0.2,-0.16,2
0.2,-0.12,2
0.19,-0.09,2
0.19,-0.05,2
0.19,-0.01,2
0.19,0.03,2
0.19,0.07,3
0.2,0.11,2
0.21,0.15,2
0.22,0.2,1
0.23,0.24,1
0.25,0.29,1
0.27,0.34,2
0.29,0.4,2
0.32,0.46,1
0.36,0.52,1
0.41,0.59,1
0.47,0.66,2
0.54,0.74,1
0.64,0.82,2
0.77,0.91,1
0.94,0.98,1
1.17,1.04,1
1.48,1.03,1
1.85,0.9,1
2.23,0.55,1
2.39,-0.05,1
2.16,-0.67,1
1.67,-1.02,1
1.17,-1.05,1
0.81,-0.91,1
0.57,-0.7,1
0.43,-0.47,1
0.35,-0.23,2
0.33,0.05,2
0.41,0.4,1
0.88,0.99,1
2.25,-1.03,1
0.37,0.16,2
0.38,0.16,2
0.39,0.16,3
0.4,0.16,3
0.41,0.17,2
0.42,0.17,3
0.43,0.17,1
0.44,0.17,1
0.45,0.17,2
0.46,0.17,1
0.47,0.17,3
0.48,0.17,1
0.49,0.17,2
0.5,0.17,2
0.51,0.17,3
0.52,0.16,3
0.53,0.16,1
0.54,0.16,3
0.55,0.15,1
0.56,0.15,1
0.57,0.15,1
0.58,0.14,2
0.59,0.14,2
0.6,0.14,3
0.6,0.13,2
0.61,0.13,2
0.62,0.12,2
0.63,0.12,3
0.63,0.11,1
0.64,0.1,2
0.65,0.1,2
0.65,0.09,1
0.66,0.09,2
0.67,0.08,1
0.67,0.07,1
0.68,0.06,5
0.69,0.05,4
0.69,0.04,4
0.69,0.03,2
0.7,0.03,4
0.7,0.02,5
0.7,0.01,1
0.7,0.0,2
0.7,-0.01,1
0.7,-0.02,2
0.7,-0.03,2
0.7,-0.04,3
0.69,-0.04,3
0.69,-0.05,3
0.68,-0.05,3
0.67,-0.05,4
0.66,-0.04,2
0.66,-0.03,2
0.65,-0.02,2
0.65,-0.01,2
0.65,0.0,2
0.66,0.01,1
0.66,0.02,1
0.66,0.03,4
0.67,0.05,3
0.69,0.07,1
0.7,0.09,3
0.71,0.1,1
0.73,0.12,2
0.75,0.13,2
0.77,0.14,2
0.8,0.15,2
0.83,0.16,1
0.87,0.17,2
0.91,0.16,1
0.95,0.15,1
0.99,0.13,3
1.03,0.1,1
1.06,0.06,2
1.08,0.0,2
1.07,-0.06,1
1.04,-0.11,1
0.91,-0.14,1
0.85,-0.09,1
0.83,0.0,1
0.9,0.12,2
1.14,0.07,1
0.87,-0.08,2
0.87,-0.1,2
0.86,-0.13,1
0.85,-0.15,2
0.84,-0.17,1
0.83,-0.19,1
0.82,-0.21,2
0.81,-0.23,2
0.79,-0.25,2
0.78,-0.27,2
0.76,-0.28,2
0.75,-0.3,1
0.73,-0.31,2
0.71,-0.32,2
0.69,-0.34,1
0.68,-0.35,1
0.66,-0.35,2
0.64,-0.36,1
0.62,-0.37,1
0.6,-0.37,1
0.58,-0.37,1
0.56,-0.38,2
0.54,-0.38,1
0.52,-0.38,3
0.5,-0.37,1
0.48,-0.37,1
0.46,-0.37,1
0.44,-0.36,1
0.43,-0.36,1
0.41,-0.35,2
0.39,-0.34,1
0.38,-0.33,1
0.36,-0.32,1
